IDOJ1_TipoOrgJurídica;IDAIO_AñoInicio;CONSUI_ConsumoIntermedio;SUELDOS_salariosAño;PRESTAC;TOTPERSO_PersonalTotal;VENTA
4;2005;408783;483062;243151;10;7141399
14;2002;143263;240766;100162;14;6414054
14;1982;241328;522041;263459;26;6946062
14;2012;998779;578131;211831;32;8170342
2;2008;116181;224621;76244;14;3676088
4;1988;340234;127174;53144;9;3763359
14;2002;190881;424577;153185;40;9751313
14;2004;2037606;1028202;471140;72;9555358
14;2010;1300106;1468271;544011;66;37334469
14;2011;661623;643625;325186;48;7938671
14;2012;17025770;9352461;2560103;352;326421451
14;2012;382892;274460;88503;21;7279468
14;2012;539578;110152;37827;9;2509688
14;1998;362909;556388;207725;33;5471550
14;1998;398837;287325;88393;16;10675274
14;2007;622878;1219552;622302;76;26703503
4;2009;2189528;584296;188247;71;20532363
14;2009;899972;966946;321507;48;18939679
14;2010;38664488;11104726;4069508;1203;383954754
14;2010;781536;945046;327352;75;5639674
14;1996;380203;295557;107957;23;2352308
14;2003;3533717;1114807;408569;71;17138767
14;2011;978995;203509;183737;25;4025715
14;2004;1284985;999322;378096;91;44803872
14;2015;618489;212920;88239;15;5008166
4;2003;836176;459187;177447;42;13866102
14;2010;248668;569976;178886;46;3553826
14;2011;1649659;2770295;1073119;86;39299849
4;1988;319466;430360;155356;43;6553367
14;2013;219719;95466;94089;5;2995843
14;1992;741808;270900;107532;9;12104175
14;1993;673401;520726;263633;38;19893917
4;1994;908341;550717;209302;30;7444992
5;2000;1065274;1277781;761942;78;10679967
14;2004;3378457;2669565;1215081;131;15153006
5;1995;3085645;8973297;4160797;135;102494694
4;1995;755252;2088187;1195915;52;16930130
14;1995;735885;414133;171624;28;9146309
14;1995;1895724;1400035;652147;78;5729119
14;1996;1139740;1238710;741845;34;5770280
99;1996;1644457;2522175;1815015;61;42446576
14;1997;1681249;999847;474155;26;16853427
4;1996;1092933;1751356;679341;65;12462711
14;1997;3242162;1758282;688342;55;29490542
5;1997;906303;481001;322651;12;4165189
4;1998;475233;995988;486939;41;3697544
14;1998;5087821;3844787;1687927;108;128621190
4;1996;354337;1027640;402754;37;15755671
4;1998;2419909;1116767;611282;32;18751130
14;2010;1571906;932693;457700;26;15356976
14;1998;2522179;1735520;768345;35;22723209
4;1999;1371614;574789;275212;30;9105330
14;1999;5917218;1517312;620789;78;32868657
14;1999;1342340;908863;428111;51;11707233
5;1999;971984;1852742;857081;38;25667586
14;2000;1509654;846061;352128;31;8256088
4;2001;1206688;1225999;757638;14;16498797
14;2001;1388320;1607175;540668;24;3686865
14;2001;2297020;1414626;562311;101;12848933
14;2012;3975187;2571921;1561467;129;16400790
5;2002;491621;708226;287963;19;8650416
14;2002;625577;803238;272989;37;1405018
4;2002;5537631;3109478;1871829;97;52701960
5;2002;6291925;7996388;3401369;132;169316125
5;2002;3188142;2071128;707400;52;17468195
4;2003;848867;1021170;376313;46;39958485
14;2003;352415;527425;198723;41;8344362
14;2003;699663;976351;357812;25;11596670
14;2003;499600;440918;303189;47;14508127
14;2004;4591759;2822073;1204762;113;18035689
14;2004;744141;669166;260174;36;4041122
14;2004;1208256;180023;69111;26;11207786
5;2004;613713;181943;68549;18;4237559
14;2004;2739521;1122040;385545;20;12687186
14;2004;1124626;847787;395269;39;10455476
5;2004;661060;2618208;1663034;43;44537010
14;2004;6643768;3130573;1059284;116;27938496
14;2005;401763;481926;180963;18;8314374
4;2005;1797718;832131;353955;61;10574383
14;1997;596708;824018;373537;61;16442133
14;1981;240546;202484;91769;12;1420807
4;2004;382596;632257;247310;20;3328334
14;1984;157398;52446;25010;5;1120694
14;1985;1343513;1066735;540959;23;28729431
14;1986;1396490;560590;233459;41;6824902
