IDOJ1_TipoOrgJurídica,IDAIO_AñoInicio,CONSUI_ConsumoIntermedio,SUELDOS_salariosAño,PRESTAC,TOTPERSO_PersonalTotal,VENTA
4,2005,alto,alto,alto,bajo,altas
14,2002,bajo,medio,medio,medio,medias
14,1982,medio,alto,alto,alto,medias
14,2012,alto,alto,alto,alto,altas
2,2008,bajo,medio,medio,medio,medias
4,1988,medio,bajo,bajo,bajo,medias
14,2002,medio,alto,alto,alto,altas
14,2004,muy alto,muy alto,muy alto,muy alto,altas
14,2010,muy alto,muy alto,muy alto,muy alto,muy altas
14,2011,alto,alto,alto,muy alto,altas
14,2012,muy alto,muy alto,muy alto,muy alto,muy altas
14,2012,medio,medio,medio,medio,altas
14,2012,alto,bajo,bajo,bajo,bajas
14,1998,medio,alto,alto,alto,medias
14,1998,medio,medio,medio,medio,altas
14,2007,alto,muy alto,muy alto,muy alto,muy altas
4,2009,muy alto,alto,alto,muy alto,muy altas
14,2009,alto,muy alto,alto,muy alto,muy altas
14,2010,muy alto,muy alto,muy alto,muy alto,muy altas
14,2010,alto,muy alto,alto,muy alto,medias
14,1996,medio,medio,medio,alto,bajas
14,2003,muy alto,muy alto,muy alto,muy alto,altas
14,2011,alto,medio,alto,alto,medias
14,2004,muy alto,muy alto,muy alto,muy alto,muy altas
14,2015,alto,medio,medio,medio,medias
4,2003,alto,alto,alto,alto,altas
14,2010,medio,alto,alto,alto,medias
14,2011,muy alto,muy alto,muy alto,muy alto,muy altas
4,1988,medio,alto,alto,alto,medias
14,2013,medio,bajo,medio,bajo,medias
14,1992,alto,medio,medio,bajo,altas
14,1993,alto,alto,alto,alto,muy altas
4,1994,alto,alto,alto,alto,altas
5,2000,alto,muy alto,muy alto,muy alto,altas
14,2004,muy alto,muy alto,muy alto,muy alto,altas
5,1995,muy alto,muy alto,muy alto,muy alto,muy altas
4,1995,alto,muy alto,muy alto,muy alto,altas
14,1995,alto,alto,alto,alto,altas
14,1995,muy alto,muy alto,muy alto,muy alto,medias
14,1996,muy alto,muy alto,muy alto,alto,medias
99,1996,muy alto,muy alto,muy alto,muy alto,muy altas
14,1997,muy alto,muy alto,muy alto,alto,altas
4,1996,muy alto,muy alto,muy alto,muy alto,altas
14,1997,muy alto,muy alto,muy alto,muy alto,muy altas
5,1997,alto,alto,alto,bajo,medias
4,1998,alto,muy alto,muy alto,alto,medias
14,1998,muy alto,muy alto,muy alto,muy alto,muy altas
4,1996,medio,muy alto,muy alto,alto,altas
4,1998,muy alto,muy alto,muy alto,alto,muy altas
14,2010,muy alto,muy alto,muy alto,alto,altas
14,1998,muy alto,muy alto,muy alto,alto,muy altas
4,1999,muy alto,alto,alto,alto,altas
14,1999,muy alto,muy alto,muy alto,muy alto,muy altas
14,1999,muy alto,muy alto,muy alto,muy alto,altas
5,1999,alto,muy alto,muy alto,alto,muy altas
14,2000,muy alto,alto,alto,alto,altas
4,2001,muy alto,muy alto,muy alto,medio,altas
14,2001,muy alto,muy alto,muy alto,alto,medias
14,2001,muy alto,muy alto,muy alto,muy alto,altas
14,2012,muy alto,muy alto,muy alto,muy alto,altas
5,2002,alto,alto,alto,medio,altas
14,2002,alto,alto,alto,alto,bajas
4,2002,muy alto,muy alto,muy alto,muy alto,muy altas
5,2002,muy alto,muy alto,muy alto,muy alto,muy altas
