IDOJ1_TipoOrgJurídica,IDAIO_AñoInicio,CONSUI_ConsumoIntermedio,SUELDOS_salariosAño,PRESTAC,TOTPERSO_PersonalTotal,VENTA
4,2005,bajo,bajo,bajo,bajo,bajas
14,2002,bajo,bajo,bajo,bajo,bajas
14,1982,bajo,bajo,bajo,bajo,bajas
14,2012,bajo,bajo,bajo,bajo,bajas
2,2008,bajo,bajo,bajo,bajo,bajas
4,1988,bajo,bajo,bajo,bajo,bajas
14,2002,bajo,bajo,bajo,bajo,bajas
14,2004,bajo,bajo,bajo,medio,bajas
14,2010,bajo,bajo,bajo,bajo,bajas
14,2011,bajo,bajo,bajo,bajo,bajas
14,2012,bajo,bajo,bajo,alto,bajas
14,2012,bajo,bajo,bajo,bajo,bajas
14,2012,bajo,bajo,bajo,bajo,bajas
14,1998,bajo,bajo,bajo,bajo,bajas
14,1998,bajo,bajo,bajo,bajo,bajas
14,2007,bajo,bajo,bajo,medio,bajas
4,2009,bajo,bajo,bajo,medio,bajas
14,2009,bajo,bajo,bajo,bajo,bajas
14,2010,bajo,bajo,bajo,muy alto,bajas
14,2010,bajo,bajo,bajo,medio,bajas
14,1996,bajo,bajo,bajo,bajo,bajas
14,2003,bajo,bajo,bajo,medio,bajas
14,2011,bajo,bajo,bajo,bajo,bajas
14,2004,bajo,bajo,bajo,medio,bajas
14,2015,bajo,bajo,bajo,bajo,bajas
4,2003,bajo,bajo,bajo,bajo,bajas
14,2010,bajo,bajo,bajo,bajo,bajas
14,2011,bajo,bajo,bajo,medio,bajas
4,1988,bajo,bajo,bajo,bajo,bajas
14,2013,bajo,bajo,bajo,bajo,bajas
14,1992,bajo,bajo,bajo,bajo,bajas
14,1993,bajo,bajo,bajo,bajo,bajas
4,1994,bajo,bajo,bajo,bajo,bajas
5,2000,bajo,bajo,bajo,medio,bajas
14,2004,bajo,bajo,bajo,medio,bajas
5,1995,bajo,bajo,bajo,medio,bajas
4,1995,bajo,bajo,bajo,bajo,bajas
14,1995,bajo,bajo,bajo,bajo,bajas
14,1995,bajo,bajo,bajo,medio,bajas
14,1996,bajo,bajo,bajo,bajo,bajas
99,1996,bajo,bajo,bajo,bajo,bajas
14,1997,bajo,bajo,bajo,bajo,bajas
4,1996,bajo,bajo,bajo,bajo,bajas
14,1997,bajo,bajo,bajo,bajo,bajas
5,1997,bajo,bajo,bajo,bajo,bajas
4,1998,bajo,bajo,bajo,bajo,bajas
14,1998,bajo,bajo,bajo,medio,bajas
4,1996,bajo,bajo,bajo,bajo,bajas
4,1998,bajo,bajo,bajo,bajo,bajas
14,2010,bajo,bajo,bajo,bajo,bajas
14,1998,bajo,bajo,bajo,bajo,bajas
4,1999,bajo,bajo,bajo,bajo,bajas
14,1999,bajo,bajo,bajo,medio,bajas
14,1999,bajo,bajo,bajo,bajo,bajas
5,1999,bajo,bajo,bajo,bajo,bajas
14,2000,bajo,bajo,bajo,bajo,bajas
4,2001,bajo,bajo,bajo,bajo,bajas
14,2001,bajo,bajo,bajo,bajo,bajas
14,2001,bajo,bajo,bajo,medio,bajas
14,2012,bajo,bajo,bajo,medio,bajas
5,2002,bajo,bajo,bajo,bajo,bajas
14,2002,bajo,bajo,bajo,bajo,bajas
4,2002,bajo,bajo,bajo,medio,bajas
5,2002,bajo,bajo,bajo,medio,bajas
5,2002,bajo,bajo,bajo,bajo,bajas
4,2003,bajo,bajo,bajo,bajo,bajas
14,2003,bajo,bajo,bajo,bajo,bajas
14,2003,bajo,bajo,bajo,bajo,bajas
14,2003,bajo,bajo,bajo,bajo,bajas
14,2004,bajo,bajo,bajo,medio,bajas
14,2004,bajo,bajo,bajo,bajo,bajas
14,2004,bajo,bajo,bajo,bajo,bajas
5,2004,bajo,bajo,bajo,bajo,bajas
14,2004,bajo,bajo,bajo,bajo,bajas
14,2004,bajo,bajo,bajo,bajo,bajas
5,2004,bajo,bajo,bajo,bajo,bajas
14,2004,bajo,bajo,bajo,medio,bajas
14,2005,bajo,bajo,bajo,bajo,bajas
4,2005,bajo,bajo,bajo,bajo,bajas
14,1997,bajo,bajo,bajo,bajo,bajas
14,1981,bajo,bajo,bajo,bajo,bajas
4,2004,bajo,bajo,bajo,bajo,bajas
14,1984,bajo,bajo,bajo,bajo,bajas
14,1985,bajo,bajo,bajo,bajo,bajas
14,1986,bajo,bajo,bajo,bajo,bajas
14,1987,bajo,bajo,bajo,bajo,bajas
4,2005,bajo,bajo,bajo,bajo,bajas
14,2005,bajo,bajo,bajo,bajo,bajas
14,2005,bajo,bajo,bajo,medio,bajas
14,2005,bajo,bajo,bajo,bajo,bajas
5,2005,bajo,bajo,bajo,bajo,bajas
2,2010,bajo,bajo,bajo,bajo,bajas
14,2006,bajo,bajo,bajo,bajo,bajas
14,2006,bajo,bajo,bajo,bajo,bajas
14,2006,bajo,bajo,bajo,bajo,bajas
7,2009,bajo,bajo,bajo,medio,bajas
14,2006,bajo,bajo,bajo,bajo,bajas
14,2007,bajo,bajo,bajo,bajo,bajas
4,2007,bajo,bajo,bajo,bajo,bajas
5,2007,bajo,bajo,bajo,bajo,bajas
14,2008,bajo,bajo,bajo,medio,bajas
14,2008,bajo,bajo,bajo,bajo,bajas
5,2009,bajo,bajo,bajo,bajo,bajas
14,2008,bajo,bajo,bajo,medio,bajas
14,2008,bajo,bajo,bajo,bajo,bajas
14,2008,bajo,bajo,bajo,bajo,bajas
14,2008,bajo,bajo,bajo,bajo,bajas
14,2008,bajo,bajo,bajo,bajo,bajas
14,2010,bajo,bajo,bajo,bajo,bajas
